#,Reference,Qty,Value,Footprint,DNP
1,C1,1,500p,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,
2,C2,1,100n,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,
3,"C3, C6",2,10n,Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm,
4,C4,1,1n,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,
5,C5,1,10n,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,
6,"C7, C8",2,10u,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,
7,"C9, C10",2,100n,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,
8,"D1, D2",2,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,
9,D3,1,D_Zener,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,
10,J1,1,power,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,
11,J9,1,Conn_01x14_Pin,Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical,
12,R1,1,1K8,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
13,R2,1,24K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
14,R3,1,5K6,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
15,R4,1,680R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
16,"R5, R6, R16",3,1K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
17,"R7, R8, R20, R21",4,100K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
18,R9,1,1M2,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
19,"R10, R23",2,1M,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
20,"R11, R17",2,470R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
21,"R12, R13",2,10K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
22,R14,1,2K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
23,"R15, R24, R25",3,47K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
24,R18,1,3M3,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
25,R19,1,150K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
26,R22,1,200K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
27,"RV1, RV3",2,10K,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,
28,RV2,1,100K,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,
29,U1,1,TL074,Package_DIP:DIP-14_W7.62mm,
30,U2,1,AS3340,Package_DIP:DIP-16_W7.62mm,
31,"CV1, FM1",2,100K,3340:R0904N,
32,"FINE1, FREQ1, PWM1",3,100K,Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,
33,J1,1,FM,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,
34,J2,1,1V/OCT,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,
35,J3,1,SAW,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,
36,J4,1,SQUARE,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,
37,J5,1,CV,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,
38,J6,1,Conn_01x14_Socket,Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical,
39,J7,1,TRI,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,
40,J8,1,SYNC,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,
41,R1,1,20K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
42,SW1,1,SW_SPDT,3340:SW_100SP1T1B4M2QE,
