#,Reference,Qty,Value,Footprint,,,,,,
1,"C1, C2",2,100n,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,,,,,,
2,"C3, C4",2,4.7u,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,,,,,,
3,J1,1,Conn_02x05_Odd_Even,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,,,,,,
4,J2,1,Output,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,,,,,,
5,J3,1,IN1,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,,,,,,
6,J4,1,IN2,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,,,,,,
7,J5,1,IN3,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,,,,,,
8,J6,1,IN4,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,,,,,,
9,J7,1,IN5,3340:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,,,,,,
10,"R1, R2, R3, R4, R5, R6",6,100K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,,,
11,R7,1,22K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,,,
12,R8,1,4K7,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,,,
13,R9,1,1K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,,,
14,"RV1, RV2, RV3, RV4, RV5",5,10K,3340:R0904N,,,,,,
15,RV6,1,100K,Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,,,,,,
16,TP1,1,+12V,TestPoint:TestPoint_Pad_D2.0mm,,,,,,
17,TP2,1,-12V,TestPoint:TestPoint_Pad_D2.0mm,,,,,,
18,TP3,1,Output,TestPoint:TestPoint_Pad_D2.0mm,,,,,,
19,U2,1,TL072,Package_DIP:DIP-8_W7.62mm,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,  
